deployment_event_id,person_id,deployment_type,start_date,end_date,intensity_level,location_type
DEP-0062-01,P-0062,TRAINING,2026-01-04,2026-03-02,3,TRAINING_AREA
DEP-0064-01,P-0064,FIELD,2026-01-09,2026-04-22,2,REMOTE_FIELD
DEP-0067-01,P-0067,FIELD,2026-01-13,2026-02-23,3,REMOTE_FIELD
DEP-0068-01,P-0068,FIELD,2026-01-16,2026-05-04,3,REMOTE_FIELD
DEP-0069-01,P-0069,BORDER,2026-01-09,2026-02-05,3,BORDER_ZONE
DEP-0070-01,P-0070,TRAINING,2026-01-07,2026-03-14,3,TRAINING_AREA
DEP-0071-01,P-0071,FIELD,2026-01-12,2026-02-07,3,REMOTE_FIELD
DEP-0071-02,P-0071,FIELD,2026-03-09,2026-05-11,3,REMOTE_FIELD
DEP-0072-01,P-0072,HIGH_INTENSITY,2026-01-10,2026-04-08,4,HIGH_INTENSITY_SECTOR
DEP-0073-01,P-0073,LOGISTICS,2026-01-07,2026-03-12,4,LOGISTICS_HUB
DEP-0074-01,P-0074,BORDER,2026-01-15,2026-05-03,4,BORDER_ZONE
DEP-0075-01,P-0075,FIELD,2026-01-09,2026-03-25,3,REMOTE_FIELD
DEP-0077-01,P-0077,HIGH_INTENSITY,2026-01-11,2026-03-17,4,HIGH_INTENSITY_SECTOR
DEP-0079-01,P-0079,FIELD,2026-01-12,2026-04-05,3,REMOTE_FIELD
DEP-0080-01,P-0080,BORDER,2026-01-10,2026-03-05,3,BORDER_ZONE
DEP-0081-01,P-0081,HIGH_INTENSITY,2026-01-10,2026-04-20,5,HIGH_INTENSITY_SECTOR
DEP-0084-01,P-0084,URBAN,2026-01-12,2026-05-19,4,URBAN_AREA
DEP-0086-01,P-0086,BORDER,2026-01-17,2026-02-27,3,BORDER_ZONE
DEP-0090-01,P-0090,URBAN,2026-01-16,2026-03-28,2,URBAN_AREA
DEP-0092-01,P-0092,FIELD,2026-01-07,2026-04-16,4,REMOTE_FIELD
DEP-0093-01,P-0093,FIELD,2026-01-08,2026-03-25,4,REMOTE_FIELD
DEP-0095-01,P-0095,FIELD,2026-01-04,2026-03-03,3,REMOTE_FIELD
DEP-0096-01,P-0096,URBAN,2026-01-18,2026-03-14,4,URBAN_AREA
DEP-0096-02,P-0096,URBAN,2026-04-05,2026-05-07,3,URBAN_AREA
DEP-0097-01,P-0097,URBAN,2026-01-05,2026-02-23,3,URBAN_AREA
DEP-0101-01,P-0101,HIGH_INTENSITY,2026-01-12,2026-04-02,4,HIGH_INTENSITY_SECTOR
DEP-0102-01,P-0102,HIGH_INTENSITY,2026-01-12,2026-04-22,5,HIGH_INTENSITY_SECTOR
DEP-0103-01,P-0103,BORDER,2026-01-09,2026-02-23,4,BORDER_ZONE
DEP-0104-01,P-0104,URBAN,2026-01-18,2026-04-03,2,URBAN_AREA
DEP-0106-01,P-0106,LOGISTICS,2026-01-07,2026-03-14,2,LOGISTICS_HUB
DEP-0107-01,P-0107,LOGISTICS,2026-01-09,2026-03-24,2,LOGISTICS_HUB
DEP-0110-01,P-0110,BORDER,2026-01-06,2026-03-07,2,BORDER_ZONE
DEP-0111-01,P-0111,FIELD,2026-01-13,2026-03-12,3,REMOTE_FIELD
DEP-0114-01,P-0114,HIGH_INTENSITY,2026-01-08,2026-02-14,4,HIGH_INTENSITY_SECTOR
DEP-0115-01,P-0115,URBAN,2026-01-04,2026-01-30,4,URBAN_AREA
DEP-0119-01,P-0119,LOGISTICS,2026-01-13,2026-02-21,2,LOGISTICS_HUB
DEP-0123-01,P-0123,HIGH_INTENSITY,2026-01-20,2026-04-13,5,HIGH_INTENSITY_SECTOR
DEP-0124-01,P-0124,URBAN,2026-01-06,2026-02-26,2,URBAN_AREA
DEP-0124-02,P-0124,URBAN,2026-03-17,2026-04-16,2,URBAN_AREA
DEP-0127-01,P-0127,URBAN,2026-01-06,2026-02-11,2,URBAN_AREA
DEP-0128-01,P-0128,BORDER,2026-01-19,2026-05-09,2,BORDER_ZONE
DEP-0129-01,P-0129,HIGH_INTENSITY,2026-01-15,2026-04-19,5,HIGH_INTENSITY_SECTOR
DEP-0130-01,P-0130,URBAN,2026-01-12,2026-02-10,2,URBAN_AREA
DEP-0132-01,P-0132,LOGISTICS,2026-01-04,2026-02-13,2,LOGISTICS_HUB
DEP-0132-02,P-0132,LOGISTICS,2026-02-26,2026-04-28,2,LOGISTICS_HUB
DEP-0134-01,P-0134,HIGH_INTENSITY,2026-01-11,2026-03-10,4,HIGH_INTENSITY_SECTOR
DEP-0135-01,P-0135,LOGISTICS,2026-01-11,2026-03-16,2,LOGISTICS_HUB
DEP-0137-01,P-0137,BORDER,2026-01-06,2026-03-04,3,BORDER_ZONE
DEP-0138-01,P-0138,BORDER,2026-01-06,2026-03-19,3,BORDER_ZONE
DEP-0139-01,P-0139,BORDER,2026-01-10,2026-03-20,2,BORDER_ZONE
DEP-0141-01,P-0141,HIGH_INTENSITY,2026-01-19,2026-03-20,5,HIGH_INTENSITY_SECTOR
DEP-0142-01,P-0142,BORDER,2026-01-15,2026-04-23,3,BORDER_ZONE
DEP-0143-01,P-0143,TRAINING,2026-01-04,2026-03-13,4,TRAINING_AREA
DEP-0144-01,P-0144,BORDER,2026-01-06,2026-04-12,4,BORDER_ZONE
DEP-0147-01,P-0147,FIELD,2026-01-07,2026-02-28,3,REMOTE_FIELD
DEP-0151-01,P-0151,FIELD,2026-01-06,2026-02-19,2,REMOTE_FIELD
DEP-0152-01,P-0152,LOGISTICS,2026-01-11,2026-03-04,2,LOGISTICS_HUB
DEP-0153-01,P-0153,HIGH_INTENSITY,2026-01-12,2026-03-05,3,HIGH_INTENSITY_SECTOR
DEP-0154-01,P-0154,HIGH_INTENSITY,2026-01-10,2026-03-09,3,HIGH_INTENSITY_SECTOR
DEP-0155-01,P-0155,URBAN,2026-01-06,2026-03-22,4,URBAN_AREA
DEP-0156-01,P-0156,HIGH_INTENSITY,2026-01-13,2026-04-16,5,HIGH_INTENSITY_SECTOR
DEP-0157-01,P-0157,LOGISTICS,2026-01-20,2026-03-30,2,LOGISTICS_HUB
DEP-0160-01,P-0160,BORDER,2026-01-19,2026-03-28,3,BORDER_ZONE
DEP-0161-01,P-0161,HIGH_INTENSITY,2026-01-20,2026-04-17,5,HIGH_INTENSITY_SECTOR
DEP-0164-01,P-0164,TRAINING,2026-01-10,2026-02-17,4,TRAINING_AREA
DEP-0164-02,P-0164,TRAINING,2026-03-21,2026-05-30,2,TRAINING_AREA
DEP-0165-01,P-0165,URBAN,2026-01-11,2026-04-18,3,URBAN_AREA
DEP-0168-01,P-0168,HIGH_INTENSITY,2026-01-06,2026-05-20,5,HIGH_INTENSITY_SECTOR
DEP-0170-01,P-0170,URBAN,2026-01-16,2026-03-09,4,URBAN_AREA
DEP-0171-01,P-0171,LOGISTICS,2026-01-15,2026-03-06,2,LOGISTICS_HUB
DEP-0172-01,P-0172,FIELD,2026-01-12,2026-04-27,2,REMOTE_FIELD
DEP-0178-01,P-0178,FIELD,2026-01-08,2026-03-07,4,REMOTE_FIELD
DEP-0179-01,P-0179,FIELD,2026-01-08,2026-03-24,2,REMOTE_FIELD
DEP-0180-01,P-0180,FIELD,2026-01-12,2026-03-15,4,REMOTE_FIELD
DEP-0181-01,P-0181,LOGISTICS,2026-01-19,2026-03-06,2,LOGISTICS_HUB
DEP-0182-01,P-0182,URBAN,2026-01-12,2026-02-16,3,URBAN_AREA
DEP-0182-02,P-0182,URBAN,2026-03-06,2026-03-30,4,URBAN_AREA
DEP-0184-01,P-0184,HIGH_INTENSITY,2026-01-13,2026-03-01,3,HIGH_INTENSITY_SECTOR
DEP-0184-02,P-0184,HIGH_INTENSITY,2026-03-26,2026-05-19,5,HIGH_INTENSITY_SECTOR
DEP-0185-01,P-0185,BORDER,2026-01-05,2026-03-09,2,BORDER_ZONE
DEP-0186-01,P-0186,FIELD,2026-01-20,2026-04-18,2,REMOTE_FIELD
DEP-0188-01,P-0188,FIELD,2026-01-12,2026-03-13,4,REMOTE_FIELD
DEP-0189-01,P-0189,BORDER,2026-01-18,2026-03-16,3,BORDER_ZONE
DEP-0190-01,P-0190,URBAN,2026-01-06,2026-02-19,3,URBAN_AREA
DEP-0195-01,P-0195,FIELD,2026-01-17,2026-02-16,2,REMOTE_FIELD
DEP-0201-01,P-0201,URBAN,2026-01-12,2026-05-04,2,URBAN_AREA
DEP-0203-01,P-0203,FIELD,2026-01-04,2026-03-20,2,REMOTE_FIELD
DEP-0205-01,P-0205,BORDER,2026-01-11,2026-03-21,3,BORDER_ZONE
DEP-0206-01,P-0206,BORDER,2026-01-16,2026-03-26,2,BORDER_ZONE
DEP-0211-01,P-0211,BORDER,2026-01-07,2026-03-07,2,BORDER_ZONE
DEP-0212-01,P-0212,TRAINING,2026-01-18,2026-03-04,3,TRAINING_AREA
DEP-0215-01,P-0215,TRAINING,2026-01-19,2026-02-18,4,TRAINING_AREA
DEP-0216-01,P-0216,HIGH_INTENSITY,2026-01-14,2026-04-02,3,HIGH_INTENSITY_SECTOR
DEP-0221-01,P-0221,BORDER,2026-01-04,2026-02-17,4,BORDER_ZONE
DEP-0222-01,P-0222,TRAINING,2026-01-10,2026-04-29,3,TRAINING_AREA
DEP-0224-01,P-0224,HIGH_INTENSITY,2026-01-20,2026-03-13,3,HIGH_INTENSITY_SECTOR
DEP-0226-01,P-0226,TRAINING,2026-01-07,2026-04-30,3,TRAINING_AREA
DEP-0228-01,P-0228,FIELD,2026-01-09,2026-04-28,3,REMOTE_FIELD
DEP-0229-01,P-0229,TRAINING,2026-01-05,2026-04-13,4,TRAINING_AREA
DEP-0230-01,P-0230,LOGISTICS,2026-01-14,2026-03-07,2,LOGISTICS_HUB
DEP-0231-01,P-0231,TRAINING,2026-01-06,2026-02-16,4,TRAINING_AREA
DEP-0232-01,P-0232,HIGH_INTENSITY,2026-01-14,2026-03-15,4,HIGH_INTENSITY_SECTOR
DEP-0233-01,P-0233,FIELD,2026-01-12,2026-03-15,2,REMOTE_FIELD
DEP-0235-01,P-0235,HIGH_INTENSITY,2026-01-15,2026-03-12,3,HIGH_INTENSITY_SECTOR
DEP-0236-01,P-0236,FIELD,2026-01-14,2026-02-22,4,REMOTE_FIELD
DEP-0239-01,P-0239,LOGISTICS,2026-01-06,2026-03-27,4,LOGISTICS_HUB
DEP-0241-01,P-0241,URBAN,2026-01-08,2026-03-15,3,URBAN_AREA
DEP-0242-01,P-0242,HIGH_INTENSITY,2026-01-16,2026-03-02,3,HIGH_INTENSITY_SECTOR
DEP-0243-01,P-0243,LOGISTICS,2026-01-05,2026-02-06,4,LOGISTICS_HUB
DEP-0243-02,P-0243,LOGISTICS,2026-03-06,2026-04-23,2,LOGISTICS_HUB
DEP-0244-01,P-0244,FIELD,2026-01-11,2026-02-15,3,REMOTE_FIELD
DEP-0245-01,P-0245,BORDER,2026-01-08,2026-03-15,3,BORDER_ZONE
DEP-0247-01,P-0247,BORDER,2026-01-20,2026-03-13,2,BORDER_ZONE
DEP-0249-01,P-0249,BORDER,2026-01-16,2026-03-07,2,BORDER_ZONE
DEP-0251-01,P-0251,FIELD,2026-01-05,2026-01-31,4,REMOTE_FIELD
DEP-0252-01,P-0252,URBAN,2026-01-06,2026-02-11,4,URBAN_AREA
DEP-0258-01,P-0258,TRAINING,2026-01-07,2026-05-12,2,TRAINING_AREA
DEP-0259-01,P-0259,URBAN,2026-01-15,2026-03-22,3,URBAN_AREA
DEP-0262-01,P-0262,FIELD,2026-01-06,2026-04-13,4,REMOTE_FIELD
DEP-0263-01,P-0263,HIGH_INTENSITY,2026-01-18,2026-05-10,4,HIGH_INTENSITY_SECTOR
DEP-0264-01,P-0264,LOGISTICS,2026-01-05,2026-04-12,2,LOGISTICS_HUB
DEP-0265-01,P-0265,HIGH_INTENSITY,2026-01-10,2026-04-30,4,HIGH_INTENSITY_SECTOR
DEP-0267-01,P-0267,URBAN,2026-01-11,2026-03-09,2,URBAN_AREA
DEP-0270-01,P-0270,URBAN,2026-01-04,2026-03-29,4,URBAN_AREA
DEP-0271-01,P-0271,HIGH_INTENSITY,2026-01-05,2026-04-27,5,HIGH_INTENSITY_SECTOR
DEP-0273-01,P-0273,FIELD,2026-01-18,2026-03-04,3,REMOTE_FIELD
DEP-0274-01,P-0274,FIELD,2026-01-14,2026-04-23,3,REMOTE_FIELD
DEP-0276-01,P-0276,FIELD,2026-01-18,2026-03-16,4,REMOTE_FIELD
DEP-0278-01,P-0278,LOGISTICS,2026-01-10,2026-02-16,2,LOGISTICS_HUB
DEP-0278-02,P-0278,LOGISTICS,2026-03-12,2026-05-18,4,LOGISTICS_HUB
DEP-0279-01,P-0279,BORDER,2026-01-08,2026-03-26,2,BORDER_ZONE
DEP-0280-01,P-0280,TRAINING,2026-01-20,2026-03-01,2,TRAINING_AREA
DEP-0283-01,P-0283,BORDER,2026-01-10,2026-04-10,2,BORDER_ZONE
DEP-0287-01,P-0287,LOGISTICS,2026-01-04,2026-02-10,2,LOGISTICS_HUB
DEP-0288-01,P-0288,TRAINING,2026-01-19,2026-03-22,4,TRAINING_AREA
DEP-0289-01,P-0289,HIGH_INTENSITY,2026-01-20,2026-03-29,5,HIGH_INTENSITY_SECTOR
DEP-0290-01,P-0290,LOGISTICS,2026-01-16,2026-04-05,2,LOGISTICS_HUB
DEP-0292-01,P-0292,BORDER,2026-01-07,2026-03-13,4,BORDER_ZONE
DEP-0293-01,P-0293,HIGH_INTENSITY,2026-01-14,2026-03-29,5,HIGH_INTENSITY_SECTOR
DEP-0296-01,P-0296,URBAN,2026-01-13,2026-03-21,4,URBAN_AREA
DEP-0297-01,P-0297,BORDER,2026-01-20,2026-03-19,2,BORDER_ZONE
DEP-0298-01,P-0298,HIGH_INTENSITY,2026-01-08,2026-02-23,5,HIGH_INTENSITY_SECTOR
DEP-0299-01,P-0299,FIELD,2026-01-14,2026-03-11,2,REMOTE_FIELD
DEP-0301-01,P-0301,BORDER,2026-01-14,2026-02-21,4,BORDER_ZONE
DEP-0302-01,P-0302,HIGH_INTENSITY,2026-01-19,2026-03-19,5,HIGH_INTENSITY_SECTOR
DEP-0303-01,P-0303,LOGISTICS,2026-01-08,2026-03-29,2,LOGISTICS_HUB
DEP-0306-01,P-0306,TRAINING,2026-01-19,2026-03-26,2,TRAINING_AREA
DEP-0307-01,P-0307,HIGH_INTENSITY,2026-01-12,2026-03-14,3,HIGH_INTENSITY_SECTOR
DEP-0310-01,P-0310,FIELD,2026-01-14,2026-03-22,4,REMOTE_FIELD
DEP-0312-01,P-0312,BORDER,2026-01-16,2026-03-02,3,BORDER_ZONE
DEP-0315-01,P-0315,HIGH_INTENSITY,2026-01-16,2026-04-19,5,HIGH_INTENSITY_SECTOR
DEP-0319-01,P-0319,URBAN,2026-01-05,2026-04-22,2,URBAN_AREA
DEP-0320-01,P-0320,BORDER,2026-01-13,2026-03-26,4,BORDER_ZONE
DEP-0323-01,P-0323,FIELD,2026-01-13,2026-03-24,2,REMOTE_FIELD
DEP-0324-01,P-0324,URBAN,2026-01-05,2026-05-19,2,URBAN_AREA
DEP-0325-01,P-0325,FIELD,2026-01-20,2026-03-27,2,REMOTE_FIELD
DEP-0326-01,P-0326,URBAN,2026-01-06,2026-04-08,2,URBAN_AREA
DEP-0327-01,P-0327,URBAN,2026-01-07,2026-02-17,4,URBAN_AREA
DEP-0327-02,P-0327,URBAN,2026-03-19,2026-05-23,3,URBAN_AREA
DEP-0328-01,P-0328,BORDER,2026-01-18,2026-03-18,4,BORDER_ZONE
DEP-0329-01,P-0329,BORDER,2026-01-13,2026-04-01,2,BORDER_ZONE
DEP-0330-01,P-0330,TRAINING,2026-01-15,2026-05-15,4,TRAINING_AREA
DEP-0331-01,P-0331,BORDER,2026-01-07,2026-02-28,2,BORDER_ZONE
DEP-0336-01,P-0336,HIGH_INTENSITY,2026-01-15,2026-02-26,4,HIGH_INTENSITY_SECTOR
DEP-0336-02,P-0336,HIGH_INTENSITY,2026-03-14,2026-05-11,5,HIGH_INTENSITY_SECTOR
DEP-0337-01,P-0337,TRAINING,2026-01-08,2026-03-23,4,TRAINING_AREA
DEP-0338-01,P-0338,HIGH_INTENSITY,2026-01-19,2026-03-17,4,HIGH_INTENSITY_SECTOR
DEP-0338-02,P-0338,HIGH_INTENSITY,2026-04-05,2026-06-05,4,HIGH_INTENSITY_SECTOR
DEP-0339-01,P-0339,FIELD,2026-01-11,2026-02-26,4,REMOTE_FIELD
DEP-0340-01,P-0340,HIGH_INTENSITY,2026-01-13,2026-02-22,3,HIGH_INTENSITY_SECTOR
DEP-0341-01,P-0341,HIGH_INTENSITY,2026-01-12,2026-03-25,4,HIGH_INTENSITY_SECTOR
DEP-0342-01,P-0342,HIGH_INTENSITY,2026-01-07,2026-03-06,4,HIGH_INTENSITY_SECTOR
DEP-0343-01,P-0343,BORDER,2026-01-09,2026-03-24,3,BORDER_ZONE
DEP-0344-01,P-0344,HIGH_INTENSITY,2026-01-10,2026-02-28,3,HIGH_INTENSITY_SECTOR
DEP-0345-01,P-0345,FIELD,2026-01-14,2026-04-03,2,REMOTE_FIELD
DEP-0347-01,P-0347,BORDER,2026-01-13,2026-03-04,3,BORDER_ZONE
DEP-0349-01,P-0349,FIELD,2026-01-17,2026-04-02,3,REMOTE_FIELD
DEP-0354-01,P-0354,HIGH_INTENSITY,2026-01-14,2026-02-12,3,HIGH_INTENSITY_SECTOR
DEP-0360-01,P-0360,FIELD,2026-01-20,2026-03-30,2,REMOTE_FIELD
DEP-0361-01,P-0361,LOGISTICS,2026-01-16,2026-03-12,2,LOGISTICS_HUB
DEP-0361-02,P-0361,LOGISTICS,2026-03-29,2026-05-15,4,LOGISTICS_HUB
DEP-0363-01,P-0363,URBAN,2026-01-05,2026-04-15,3,URBAN_AREA
DEP-0364-01,P-0364,TRAINING,2026-01-10,2026-03-28,2,TRAINING_AREA
DEP-0365-01,P-0365,HIGH_INTENSITY,2026-01-19,2026-04-09,4,HIGH_INTENSITY_SECTOR
DEP-0368-01,P-0368,LOGISTICS,2026-01-13,2026-04-29,4,LOGISTICS_HUB
DEP-0369-01,P-0369,URBAN,2026-01-11,2026-04-05,2,URBAN_AREA
DEP-0370-01,P-0370,HIGH_INTENSITY,2026-01-17,2026-03-11,5,HIGH_INTENSITY_SECTOR
DEP-0374-01,P-0374,HIGH_INTENSITY,2026-01-11,2026-03-16,4,HIGH_INTENSITY_SECTOR
DEP-0375-01,P-0375,HIGH_INTENSITY,2026-01-04,2026-02-19,5,HIGH_INTENSITY_SECTOR
DEP-0376-01,P-0376,BORDER,2026-01-18,2026-03-05,2,BORDER_ZONE
DEP-0380-01,P-0380,FIELD,2026-01-04,2026-02-22,3,REMOTE_FIELD
DEP-0381-01,P-0381,LOGISTICS,2026-01-06,2026-02-02,4,LOGISTICS_HUB
DEP-0382-01,P-0382,LOGISTICS,2026-01-07,2026-05-10,4,LOGISTICS_HUB
DEP-0383-01,P-0383,FIELD,2026-01-10,2026-03-30,4,REMOTE_FIELD
DEP-0386-01,P-0386,HIGH_INTENSITY,2026-01-04,2026-03-25,4,HIGH_INTENSITY_SECTOR
DEP-0393-01,P-0393,HIGH_INTENSITY,2026-01-11,2026-03-11,4,HIGH_INTENSITY_SECTOR
DEP-0395-01,P-0395,LOGISTICS,2026-01-10,2026-04-14,2,LOGISTICS_HUB
DEP-0397-01,P-0397,FIELD,2026-01-11,2026-02-17,2,REMOTE_FIELD
DEP-0398-01,P-0398,FIELD,2026-01-11,2026-04-14,2,REMOTE_FIELD
DEP-0401-01,P-0401,FIELD,2026-01-05,2026-03-26,4,REMOTE_FIELD
DEP-0403-01,P-0403,HIGH_INTENSITY,2026-01-18,2026-03-08,4,HIGH_INTENSITY_SECTOR
DEP-0403-02,P-0403,HIGH_INTENSITY,2026-03-31,2026-05-04,5,HIGH_INTENSITY_SECTOR
DEP-0404-01,P-0404,HIGH_INTENSITY,2026-01-08,2026-03-05,4,HIGH_INTENSITY_SECTOR
DEP-0405-01,P-0405,HIGH_INTENSITY,2026-01-05,2026-03-04,5,HIGH_INTENSITY_SECTOR
DEP-0408-01,P-0408,LOGISTICS,2026-01-15,2026-03-10,2,LOGISTICS_HUB
DEP-0409-01,P-0409,HIGH_INTENSITY,2026-01-18,2026-03-06,5,HIGH_INTENSITY_SECTOR
DEP-0410-01,P-0410,BORDER,2026-01-09,2026-04-15,3,BORDER_ZONE
DEP-0412-01,P-0412,URBAN,2026-01-17,2026-03-27,2,URBAN_AREA
DEP-0412-02,P-0412,URBAN,2026-04-13,2026-05-29,4,URBAN_AREA
DEP-0413-01,P-0413,FIELD,2026-01-05,2026-05-02,4,REMOTE_FIELD
DEP-0414-01,P-0414,LOGISTICS,2026-01-06,2026-02-28,4,LOGISTICS_HUB
DEP-0415-01,P-0415,LOGISTICS,2026-01-09,2026-03-07,2,LOGISTICS_HUB
DEP-0417-01,P-0417,HIGH_INTENSITY,2026-01-06,2026-03-16,4,HIGH_INTENSITY_SECTOR
DEP-0418-01,P-0418,BORDER,2026-01-14,2026-03-13,3,BORDER_ZONE
DEP-0419-01,P-0419,BORDER,2026-01-14,2026-02-15,4,BORDER_ZONE
DEP-0420-01,P-0420,BORDER,2026-01-19,2026-03-21,3,BORDER_ZONE
DEP-0422-01,P-0422,URBAN,2026-01-09,2026-03-05,3,URBAN_AREA
DEP-0423-01,P-0423,FIELD,2026-01-05,2026-04-16,3,REMOTE_FIELD
DEP-0424-01,P-0424,HIGH_INTENSITY,2026-01-19,2026-03-17,3,HIGH_INTENSITY_SECTOR
DEP-0427-01,P-0427,HIGH_INTENSITY,2026-01-14,2026-03-15,3,HIGH_INTENSITY_SECTOR
DEP-0428-01,P-0428,TRAINING,2026-01-18,2026-03-19,4,TRAINING_AREA
DEP-0428-02,P-0428,TRAINING,2026-04-02,2026-05-11,3,TRAINING_AREA
DEP-0429-01,P-0429,HIGH_INTENSITY,2026-01-16,2026-03-12,3,HIGH_INTENSITY_SECTOR
DEP-0431-01,P-0431,BORDER,2026-01-09,2026-05-10,4,BORDER_ZONE
DEP-0432-01,P-0432,HIGH_INTENSITY,2026-01-04,2026-02-08,4,HIGH_INTENSITY_SECTOR
DEP-0433-01,P-0433,LOGISTICS,2026-01-11,2026-03-18,2,LOGISTICS_HUB
DEP-0434-01,P-0434,HIGH_INTENSITY,2026-01-12,2026-03-21,3,HIGH_INTENSITY_SECTOR
DEP-0435-01,P-0435,BORDER,2026-01-15,2026-03-12,4,BORDER_ZONE
DEP-0437-01,P-0437,BORDER,2026-01-11,2026-03-30,2,BORDER_ZONE
DEP-0438-01,P-0438,URBAN,2026-01-04,2026-04-05,4,URBAN_AREA
DEP-0439-01,P-0439,HIGH_INTENSITY,2026-01-19,2026-04-05,5,HIGH_INTENSITY_SECTOR
DEP-0440-01,P-0440,HIGH_INTENSITY,2026-01-04,2026-03-21,5,HIGH_INTENSITY_SECTOR
DEP-0441-01,P-0441,HIGH_INTENSITY,2026-01-05,2026-03-14,3,HIGH_INTENSITY_SECTOR
DEP-0442-01,P-0442,HIGH_INTENSITY,2026-01-05,2026-04-19,5,HIGH_INTENSITY_SECTOR
DEP-0445-01,P-0445,BORDER,2026-01-20,2026-04-20,2,BORDER_ZONE
DEP-0448-01,P-0448,BORDER,2026-01-09,2026-02-27,3,BORDER_ZONE
DEP-0450-01,P-0450,TRAINING,2026-01-07,2026-04-21,3,TRAINING_AREA
DEP-0452-01,P-0452,FIELD,2026-01-04,2026-03-11,3,REMOTE_FIELD
DEP-0453-01,P-0453,HIGH_INTENSITY,2026-01-17,2026-04-03,4,HIGH_INTENSITY_SECTOR
DEP-0455-01,P-0455,HIGH_INTENSITY,2026-01-08,2026-03-01,4,HIGH_INTENSITY_SECTOR
DEP-0455-02,P-0455,HIGH_INTENSITY,2026-03-24,2026-05-25,4,HIGH_INTENSITY_SECTOR
DEP-0457-01,P-0457,URBAN,2026-01-17,2026-04-21,3,URBAN_AREA
DEP-0460-01,P-0460,HIGH_INTENSITY,2026-01-13,2026-03-08,3,HIGH_INTENSITY_SECTOR
DEP-0460-02,P-0460,HIGH_INTENSITY,2026-03-21,2026-05-05,5,HIGH_INTENSITY_SECTOR
DEP-0464-01,P-0464,FIELD,2026-01-08,2026-02-06,3,REMOTE_FIELD
DEP-0466-01,P-0466,BORDER,2026-01-20,2026-03-01,3,BORDER_ZONE
DEP-0468-01,P-0468,TRAINING,2026-01-18,2026-03-03,2,TRAINING_AREA
DEP-0471-01,P-0471,FIELD,2026-01-05,2026-02-18,3,REMOTE_FIELD
DEP-0473-01,P-0473,HIGH_INTENSITY,2026-01-05,2026-03-25,4,HIGH_INTENSITY_SECTOR
DEP-0474-01,P-0474,HIGH_INTENSITY,2026-01-17,2026-04-06,3,HIGH_INTENSITY_SECTOR
