duty_event_id,person_id,timestamp,date,duty_type,duration_hours,night_shift,intensity_level,deployment_id
DUT-0001-076,P-0001,2026-03-17T21:00:00,2026-03-17,NIGHT,11.07,True,3,
DUT-0001-077,P-0001,2026-03-18T21:00:00,2026-03-18,NIGHT,9.09,True,4,
DUT-0001-078,P-0001,2026-03-19T08:00:00,2026-03-19,EMERGENCY,12.09,False,4,
DUT-0001-079,P-0001,2026-03-20T12:00:00,2026-03-20,DAY,11.22,False,5,
DUT-0001-080,P-0001,2026-03-21T10:00:00,2026-03-21,PATROL,11.39,False,5,
DUT-0001-081,P-0001,2026-03-22T07:00:00,2026-03-22,DAY,9.62,False,5,
DUT-0001-082,P-0001,2026-03-23T12:00:00,2026-03-23,TRAINING_SUPPORT,9.14,False,5,
DUT-0001-083,P-0001,2026-03-24T21:00:00,2026-03-24,NIGHT,9.08,True,4,
DUT-0001-084,P-0001,2026-03-25T09:00:00,2026-03-25,DAY,10.56,False,4,
DUT-0001-085,P-0001,2026-03-26T13:00:00,2026-03-26,PATROL,11.28,False,4,
DUT-0001-086,P-0001,2026-03-27T06:00:00,2026-03-27,PATROL,12.5,False,4,
DUT-0001-087,P-0001,2026-03-28T21:00:00,2026-03-28,TRAINING_SUPPORT,9.33,True,4,
DUT-0001-088,P-0001,2026-03-29T10:00:00,2026-03-29,DAY,12.63,False,5,
DUT-0001-089,P-0001,2026-03-30T07:00:00,2026-03-30,DAY,10.86,False,5,
DUT-0001-090,P-0001,2026-03-31T05:00:00,2026-03-31,DAY,10.0,False,4,
DUT-0001-091,P-0001,2026-04-01T21:00:00,2026-04-01,NIGHT,11.83,True,4,
DUT-0001-092,P-0001,2026-04-02T11:00:00,2026-04-02,TRAINING_SUPPORT,8.73,False,4,
DUT-0001-093,P-0001,2026-04-03T21:00:00,2026-04-03,NIGHT,12.13,True,4,
DUT-0001-094,P-0001,2026-04-04T13:00:00,2026-04-04,DAY,11.6,False,5,
DUT-0001-095,P-0001,2026-04-05T07:00:00,2026-04-05,DAY,10.88,False,5,
DUT-0001-096,P-0001,2026-04-06T10:00:00,2026-04-06,ADMIN,6.96,False,3,
DUT-0001-097,P-0001,2026-04-07T05:00:00,2026-04-07,DAY,10.34,False,5,
DUT-0001-098,P-0001,2026-04-08T13:00:00,2026-04-08,DAY,9.15,False,4,
DUT-0001-099,P-0001,2026-04-09T10:00:00,2026-04-09,EMERGENCY,9.87,False,5,
DUT-0001-100,P-0001,2026-04-10T21:00:00,2026-04-10,PATROL,13.33,True,4,
DUT-0001-101,P-0001,2026-04-11T11:00:00,2026-04-11,PATROL,6.44,False,4,
DUT-0001-102,P-0001,2026-04-12T21:00:00,2026-04-12,NIGHT,5.72,True,2,
DUT-0001-103,P-0001,2026-04-13T21:00:00,2026-04-13,NIGHT,5.76,True,3,
DUT-0001-104,P-0001,2026-04-14T21:00:00,2026-04-14,NIGHT,7.26,True,2,
DUT-0001-105,P-0001,2026-04-15T21:00:00,2026-04-15,PATROL,9.07,True,4,
DUT-0001-106,P-0001,2026-04-16T21:00:00,2026-04-16,EMERGENCY,7.3,True,3,
DUT-0001-107,P-0001,2026-04-17T21:00:00,2026-04-17,EMERGENCY,7.07,True,4,
DUT-0001-108,P-0001,2026-04-18T12:00:00,2026-04-18,DAY,7.72,False,2,
DUT-0001-109,P-0001,2026-04-19T07:00:00,2026-04-19,DAY,7.17,False,2,
DUT-0001-110,P-0001,2026-04-20T21:00:00,2026-04-20,NIGHT,9.61,True,3,
DUT-0001-111,P-0001,2026-04-21T21:00:00,2026-04-21,NIGHT,8.74,True,2,
DUT-0001-112,P-0001,2026-04-22T06:00:00,2026-04-22,DAY,7.66,False,4,
DUT-0001-113,P-0001,2026-04-23T21:00:00,2026-04-23,NIGHT,7.07,True,3,
DUT-0001-114,P-0001,2026-04-24T05:00:00,2026-04-24,DAY,9.11,False,4,
DUT-0001-115,P-0001,2026-04-25T21:00:00,2026-04-25,NIGHT,5.5,True,3,
DUT-0001-116,P-0001,2026-04-26T09:00:00,2026-04-26,DAY,6.53,False,2,
DUT-0001-117,P-0001,2026-04-27T07:00:00,2026-04-27,DAY,7.46,False,4,
DUT-0001-118,P-0001,2026-04-28T10:00:00,2026-04-28,DAY,8.98,False,2,
DUT-0001-119,P-0001,2026-04-29T07:00:00,2026-04-29,ADMIN,7.92,False,1,
DUT-0001-120,P-0001,2026-04-30T05:00:00,2026-04-30,DAY,4.66,False,2,
DUT-0001-121,P-0001,2026-05-01T07:00:00,2026-05-01,DAY,6.32,False,3,
DUT-0001-122,P-0001,2026-05-02T12:00:00,2026-05-02,DAY,8.14,False,2,
DUT-0001-123,P-0001,2026-05-03T12:00:00,2026-05-03,TRAINING_SUPPORT,8.49,False,3,
DUT-0001-124,P-0001,2026-05-04T10:00:00,2026-05-04,DAY,8.89,False,3,
DUT-0001-139,P-0001,2026-05-19T21:00:00,2026-05-19,PATROL,8.26,True,4,
DUT-0001-140,P-0001,2026-05-20T05:00:00,2026-05-20,EMERGENCY,9.54,False,3,
DUT-0001-141,P-0001,2026-05-21T12:00:00,2026-05-21,DAY,5.85,False,1,
DUT-0001-142,P-0001,2026-05-22T08:00:00,2026-05-22,ADMIN,7.92,False,3,
DUT-0001-143,P-0001,2026-05-23T10:00:00,2026-05-23,PATROL,9.72,False,3,
DUT-0001-144,P-0001,2026-05-24T09:00:00,2026-05-24,ADMIN,7.55,False,3,
DUT-0001-145,P-0001,2026-05-25T10:00:00,2026-05-25,PATROL,8.1,False,4,
DUT-0001-146,P-0001,2026-05-26T11:00:00,2026-05-26,PATROL,7.5,False,2,
DUT-0001-147,P-0001,2026-05-27T09:00:00,2026-05-27,EMERGENCY,8.07,False,4,
DUT-0001-148,P-0001,2026-05-28T05:00:00,2026-05-28,ADMIN,5.37,False,1,
DUT-0001-149,P-0001,2026-05-29T07:00:00,2026-05-29,PATROL,5.18,False,2,
DUT-0001-150,P-0001,2026-05-30T07:00:00,2026-05-30,PATROL,6.66,False,3,
DUT-0001-151,P-0001,2026-05-31T13:00:00,2026-05-31,ADMIN,7.03,False,1,
DUT-0001-152,P-0001,2026-06-01T09:00:00,2026-06-01,ADMIN,8.32,False,4,
DUT-0001-153,P-0001,2026-06-02T09:00:00,2026-06-02,ADMIN,5.9,False,3,
DUT-0001-154,P-0001,2026-06-03T05:00:00,2026-06-03,DAY,7.28,False,2,
DUT-0001-155,P-0001,2026-06-04T08:00:00,2026-06-04,PATROL,7.1,False,3,
DUT-0001-156,P-0001,2026-06-05T06:00:00,2026-06-05,PATROL,7.86,False,2,
DUT-0001-157,P-0001,2026-06-06T11:00:00,2026-06-06,ADMIN,7.0,False,2,
DUT-0001-158,P-0001,2026-06-07T05:00:00,2026-06-07,DAY,8.38,False,3,
DUT-0001-159,P-0001,2026-06-08T07:00:00,2026-06-08,ADMIN,8.15,False,1,
DUT-0001-160,P-0001,2026-06-09T08:00:00,2026-06-09,DAY,6.23,False,2,
DUT-0001-161,P-0001,2026-06-10T21:00:00,2026-06-10,NIGHT,6.55,True,1,
DUT-0001-162,P-0001,2026-06-11T12:00:00,2026-06-11,DAY,5.04,False,3,
DUT-0001-163,P-0001,2026-06-12T09:00:00,2026-06-12,TRAINING_SUPPORT,9.55,False,3,
DUT-0001-164,P-0001,2026-06-13T08:00:00,2026-06-13,ADMIN,6.05,False,3,
DUT-0001-165,P-0001,2026-06-14T11:00:00,2026-06-14,DAY,9.24,False,2,
DUT-0001-166,P-0001,2026-06-15T11:00:00,2026-06-15,PATROL,9.37,False,2,
DUT-0001-167,P-0001,2026-06-16T13:00:00,2026-06-16,ADMIN,7.03,False,4,
DUT-0001-168,P-0001,2026-06-17T08:00:00,2026-06-17,DAY,8.67,False,3,
DUT-0001-169,P-0001,2026-06-18T08:00:00,2026-06-18,DAY,5.88,False,3,
DUT-0001-170,P-0001,2026-06-19T09:00:00,2026-06-19,TRAINING_SUPPORT,7.74,False,1,
DUT-0001-171,P-0001,2026-06-20T12:00:00,2026-06-20,TRAINING_SUPPORT,7.29,False,2,
DUT-0001-172,P-0001,2026-06-21T06:00:00,2026-06-21,TRAINING_SUPPORT,8.7,False,2,
DUT-0001-173,P-0001,2026-06-22T05:00:00,2026-06-22,PATROL,7.68,False,3,
DUT-0001-174,P-0001,2026-06-23T09:00:00,2026-06-23,PATROL,6.73,False,2,
DUT-0001-175,P-0001,2026-06-24T11:00:00,2026-06-24,PATROL,6.84,False,1,
DUT-0001-176,P-0001,2026-06-25T10:00:00,2026-06-25,TRAINING_SUPPORT,7.48,False,1,
DUT-0001-177,P-0001,2026-06-26T11:00:00,2026-06-26,PATROL,8.66,False,3,
DUT-0001-178,P-0001,2026-06-27T12:00:00,2026-06-27,PATROL,7.89,False,1,
DUT-0001-179,P-0001,2026-06-28T21:00:00,2026-06-28,NIGHT,6.69,True,3,
DUT-0001-180,P-0001,2026-06-29T21:00:00,2026-06-29,PATROL,8.54,True,2,
DUT-0002-001,P-0002,2026-01-01T08:00:00,2026-01-01,TRAINING_SUPPORT,9.45,False,2,
DUT-0002-002,P-0002,2026-01-02T06:00:00,2026-01-02,ADMIN,7.41,False,3,
DUT-0002-003,P-0002,2026-01-03T07:00:00,2026-01-03,ADMIN,10.39,False,3,
DUT-0002-004,P-0002,2026-01-04T07:00:00,2026-01-04,ADMIN,7.27,False,2,
DUT-0002-005,P-0002,2026-01-05T09:00:00,2026-01-05,DAY,8.67,False,2,
DUT-0002-006,P-0002,2026-01-06T12:00:00,2026-01-06,DAY,5.95,False,3,
DUT-0002-007,P-0002,2026-01-07T07:00:00,2026-01-07,PATROL,6.03,False,3,
DUT-0002-008,P-0002,2026-01-08T08:00:00,2026-01-08,DAY,5.86,False,2,
DUT-0002-009,P-0002,2026-01-09T09:00:00,2026-01-09,TRAINING_SUPPORT,9.57,False,2,
DUT-0002-010,P-0002,2026-01-10T06:00:00,2026-01-10,PATROL,5.59,False,1,
DUT-0002-011,P-0002,2026-01-11T05:00:00,2026-01-11,DAY,8.37,False,3,
DUT-0002-012,P-0002,2026-01-12T12:00:00,2026-01-12,TRAINING_SUPPORT,6.12,False,1,
DUT-0002-013,P-0002,2026-01-13T06:00:00,2026-01-13,DAY,6.01,False,3,
DUT-0002-014,P-0002,2026-01-14T08:00:00,2026-01-14,TRAINING_SUPPORT,8.37,False,3,
DUT-0002-015,P-0002,2026-01-15T10:00:00,2026-01-15,PATROL,7.09,False,2,
DUT-0002-016,P-0002,2026-01-16T11:00:00,2026-01-16,ADMIN,7.45,False,2,
DUT-0002-017,P-0002,2026-01-17T09:00:00,2026-01-17,TRAINING_SUPPORT,8.83,False,2,
DUT-0002-018,P-0002,2026-01-18T11:00:00,2026-01-18,DAY,6.41,False,2,
DUT-0002-019,P-0002,2026-01-19T11:00:00,2026-01-19,TRAINING_SUPPORT,8.32,False,3,
DUT-0002-020,P-0002,2026-01-20T07:00:00,2026-01-20,TRAINING_SUPPORT,6.38,False,3,
DUT-0002-021,P-0002,2026-01-21T11:00:00,2026-01-21,DAY,6.58,False,3,
DUT-0002-022,P-0002,2026-01-22T10:00:00,2026-01-22,TRAINING_SUPPORT,7.48,False,2,
DUT-0002-023,P-0002,2026-01-23T10:00:00,2026-01-23,PATROL,7.73,False,3,
DUT-0002-024,P-0002,2026-01-24T13:00:00,2026-01-24,DAY,5.67,False,2,
DUT-0002-025,P-0002,2026-01-25T07:00:00,2026-01-25,TRAINING_SUPPORT,6.88,False,3,
DUT-0002-026,P-0002,2026-01-26T08:00:00,2026-01-26,DAY,7.27,False,3,
DUT-0002-027,P-0002,2026-01-27T05:00:00,2026-01-27,PATROL,7.26,False,3,
DUT-0002-028,P-0002,2026-01-28T11:00:00,2026-01-28,TRAINING_SUPPORT,9.07,False,3,
DUT-0002-029,P-0002,2026-01-29T10:00:00,2026-01-29,TRAINING_SUPPORT,7.8,False,3,
DUT-0002-030,P-0002,2026-01-30T07:00:00,2026-01-30,TRAINING_SUPPORT,6.39,False,1,
DUT-0002-031,P-0002,2026-01-31T07:00:00,2026-01-31,ADMIN,8.89,False,3,
DUT-0002-032,P-0002,2026-02-01T07:00:00,2026-02-01,DAY,6.47,False,2,
DUT-0002-033,P-0002,2026-02-02T05:00:00,2026-02-02,DAY,7.73,False,2,
DUT-0002-034,P-0002,2026-02-03T11:00:00,2026-02-03,PATROL,7.54,False,3,
DUT-0002-049,P-0002,2026-02-18T05:00:00,2026-02-18,TRAINING_SUPPORT,6.48,False,2,
DUT-0002-050,P-0002,2026-02-19T06:00:00,2026-02-19,TRAINING_SUPPORT,7.39,False,4,
DUT-0002-051,P-0002,2026-02-20T09:00:00,2026-02-20,EMERGENCY,9.31,False,3,
DUT-0002-052,P-0002,2026-02-21T13:00:00,2026-02-21,DAY,5.7,False,2,
DUT-0002-053,P-0002,2026-02-22T07:00:00,2026-02-22,PATROL,8.18,False,3,
DUT-0002-054,P-0002,2026-02-23T09:00:00,2026-02-23,ADMIN,6.81,False,3,
DUT-0002-055,P-0002,2026-02-24T21:00:00,2026-02-24,NIGHT,7.46,True,3,
DUT-0002-056,P-0002,2026-02-25T21:00:00,2026-02-25,TRAINING_SUPPORT,9.62,True,2,
DUT-0002-057,P-0002,2026-02-26T08:00:00,2026-02-26,DAY,8.23,False,4,
DUT-0002-058,P-0002,2026-02-27T09:00:00,2026-02-27,ADMIN,7.32,False,3,
DUT-0002-059,P-0002,2026-02-28T10:00:00,2026-02-28,PATROL,11.92,False,2,
DUT-0002-060,P-0002,2026-03-01T05:00:00,2026-03-01,TRAINING_SUPPORT,6.6,False,4,
DUT-0002-061,P-0002,2026-03-02T12:00:00,2026-03-02,TRAINING_SUPPORT,6.75,False,2,
DUT-0002-062,P-0002,2026-03-03T10:00:00,2026-03-03,DAY,9.48,False,3,
DUT-0002-063,P-0002,2026-03-04T05:00:00,2026-03-04,PATROL,9.54,False,2,
DUT-0002-064,P-0002,2026-03-05T05:00:00,2026-03-05,PATROL,6.86,False,2,
DUT-0002-065,P-0002,2026-03-06T07:00:00,2026-03-06,TRAINING_SUPPORT,8.93,False,3,
DUT-0002-066,P-0002,2026-03-07T06:00:00,2026-03-07,DAY,6.95,False,4,
DUT-0002-067,P-0002,2026-03-08T10:00:00,2026-03-08,DAY,9.23,False,3,
DUT-0002-068,P-0002,2026-03-09T09:00:00,2026-03-09,EMERGENCY,10.28,False,3,
DUT-0002-069,P-0002,2026-03-10T13:00:00,2026-03-10,TRAINING_SUPPORT,7.96,False,3,
DUT-0002-070,P-0002,2026-03-11T09:00:00,2026-03-11,DAY,6.53,False,3,
DUT-0002-071,P-0002,2026-03-12T06:00:00,2026-03-12,TRAINING_SUPPORT,6.29,False,4,
DUT-0002-072,P-0002,2026-03-13T21:00:00,2026-03-13,PATROL,7.16,True,1,
DUT-0002-073,P-0002,2026-03-14T07:00:00,2026-03-14,TRAINING_SUPPORT,9.35,False,4,
DUT-0002-074,P-0002,2026-03-15T21:00:00,2026-03-15,NIGHT,7.01,True,2,
DUT-0002-075,P-0002,2026-03-16T09:00:00,2026-03-16,TRAINING_SUPPORT,7.66,False,3,
DUT-0002-076,P-0002,2026-03-17T12:00:00,2026-03-17,ADMIN,4.53,False,2,
DUT-0002-077,P-0002,2026-03-18T10:00:00,2026-03-18,DAY,8.48,False,2,
DUT-0002-078,P-0002,2026-03-19T06:00:00,2026-03-19,DAY,6.05,False,2,
DUT-0002-079,P-0002,2026-03-20T12:00:00,2026-03-20,DAY,6.87,False,2,
DUT-0002-080,P-0002,2026-03-21T07:00:00,2026-03-21,ADMIN,5.21,False,4,
DUT-0002-081,P-0002,2026-03-22T07:00:00,2026-03-22,DAY,8.0,False,4,
DUT-0002-082,P-0002,2026-03-23T10:00:00,2026-03-23,PATROL,7.73,False,2,
DUT-0002-083,P-0002,2026-03-24T21:00:00,2026-03-24,TRAINING_SUPPORT,10.3,True,3,
DUT-0002-084,P-0002,2026-03-25T10:00:00,2026-03-25,DAY,6.05,False,3,
DUT-0002-085,P-0002,2026-03-26T10:00:00,2026-03-26,PATROL,8.05,False,3,
DUT-0002-086,P-0002,2026-03-27T13:00:00,2026-03-27,ADMIN,8.97,False,2,
DUT-0002-087,P-0002,2026-03-28T13:00:00,2026-03-28,ADMIN,7.9,False,2,
DUT-0002-088,P-0002,2026-03-29T05:00:00,2026-03-29,TRAINING_SUPPORT,8.03,False,3,
DUT-0002-089,P-0002,2026-03-30T08:00:00,2026-03-30,DAY,6.08,False,3,
DUT-0002-090,P-0002,2026-03-31T06:00:00,2026-03-31,TRAINING_SUPPORT,8.22,False,2,
DUT-0002-091,P-0002,2026-04-01T09:00:00,2026-04-01,TRAINING_SUPPORT,6.66,False,3,
DUT-0002-092,P-0002,2026-04-02T07:00:00,2026-04-02,TRAINING_SUPPORT,7.28,False,2,
DUT-0002-093,P-0002,2026-04-03T10:00:00,2026-04-03,DAY,7.6,False,3,
DUT-0002-094,P-0002,2026-04-04T07:00:00,2026-04-04,TRAINING_SUPPORT,7.89,False,3,
DUT-0002-095,P-0002,2026-04-05T09:00:00,2026-04-05,DAY,5.0,False,2,
DUT-0002-096,P-0002,2026-04-06T12:00:00,2026-04-06,DAY,8.84,False,2,
DUT-0002-097,P-0002,2026-04-07T08:00:00,2026-04-07,DAY,8.57,False,2,
DUT-0002-098,P-0002,2026-04-08T21:00:00,2026-04-08,PATROL,7.66,True,1,
DUT-0002-099,P-0002,2026-04-09T12:00:00,2026-04-09,PATROL,9.22,False,4,
DUT-0002-100,P-0002,2026-04-10T08:00:00,2026-04-10,ADMIN,7.02,False,3,
DUT-0002-101,P-0002,2026-04-11T08:00:00,2026-04-11,DAY,6.88,False,3,
DUT-0002-102,P-0002,2026-04-12T05:00:00,2026-04-12,TRAINING_SUPPORT,10.45,False,3,
DUT-0002-103,P-0002,2026-04-13T09:00:00,2026-04-13,DAY,5.96,False,2,
DUT-0002-104,P-0002,2026-04-14T08:00:00,2026-04-14,DAY,4.0,False,2,
DUT-0002-105,P-0002,2026-04-15T11:00:00,2026-04-15,TRAINING_SUPPORT,8.96,False,2,
DUT-0002-106,P-0002,2026-04-16T12:00:00,2026-04-16,PATROL,5.88,False,1,
DUT-0002-107,P-0002,2026-04-17T21:00:00,2026-04-17,NIGHT,7.44,True,2,
DUT-0002-108,P-0002,2026-04-18T13:00:00,2026-04-18,DAY,8.08,False,2,
DUT-0002-109,P-0002,2026-04-19T13:00:00,2026-04-19,PATROL,6.56,False,4,
DUT-0002-110,P-0002,2026-04-20T13:00:00,2026-04-20,DAY,6.9,False,3,
DUT-0002-111,P-0002,2026-04-21T10:00:00,2026-04-21,DAY,6.02,False,4,
DUT-0002-112,P-0002,2026-04-22T11:00:00,2026-04-22,TRAINING_SUPPORT,9.39,False,3,
DUT-0002-113,P-0002,2026-04-23T13:00:00,2026-04-23,DAY,8.96,False,3,
DUT-0002-114,P-0002,2026-04-24T09:00:00,2026-04-24,DAY,7.03,False,2,
DUT-0002-115,P-0002,2026-04-25T11:00:00,2026-04-25,PATROL,9.71,False,3,
DUT-0002-116,P-0002,2026-04-26T12:00:00,2026-04-26,DAY,6.07,False,3,
DUT-0002-117,P-0002,2026-04-27T06:00:00,2026-04-27,ADMIN,7.5,False,2,
DUT-0002-118,P-0002,2026-04-28T13:00:00,2026-04-28,TRAINING_SUPPORT,8.92,False,2,
DUT-0002-119,P-0002,2026-04-29T11:00:00,2026-04-29,DAY,9.91,False,2,
DUT-0002-120,P-0002,2026-04-30T09:00:00,2026-04-30,DAY,9.67,False,4,
DUT-0002-121,P-0002,2026-05-01T09:00:00,2026-05-01,DAY,4.0,False,2,
DUT-0002-122,P-0002,2026-05-02T08:00:00,2026-05-02,ADMIN,7.03,False,4,
DUT-0002-123,P-0002,2026-05-03T09:00:00,2026-05-03,ADMIN,10.17,False,3,
DUT-0002-124,P-0002,2026-05-04T06:00:00,2026-05-04,ADMIN,8.64,False,2,
DUT-0002-125,P-0002,2026-05-05T08:00:00,2026-05-05,TRAINING_SUPPORT,10.57,False,2,
DUT-0002-126,P-0002,2026-05-06T07:00:00,2026-05-06,DAY,4.32,False,4,
DUT-0002-127,P-0002,2026-05-07T21:00:00,2026-05-07,EMERGENCY,6.71,True,3,
DUT-0002-128,P-0002,2026-05-08T10:00:00,2026-05-08,PATROL,4.87,False,2,
DUT-0002-129,P-0002,2026-05-09T07:00:00,2026-05-09,DAY,7.75,False,2,
DUT-0002-130,P-0002,2026-05-10T11:00:00,2026-05-10,TRAINING_SUPPORT,7.47,False,3,
DUT-0002-131,P-0002,2026-05-11T12:00:00,2026-05-11,ADMIN,7.2,False,2,
DUT-0002-132,P-0002,2026-05-12T09:00:00,2026-05-12,DAY,7.05,False,4,
DUT-0002-133,P-0002,2026-05-13T05:00:00,2026-05-13,DAY,8.76,False,3,
DUT-0002-134,P-0002,2026-05-14T11:00:00,2026-05-14,DAY,8.1,False,2,
DUT-0002-135,P-0002,2026-05-15T10:00:00,2026-05-15,PATROL,6.37,False,2,
DUT-0002-136,P-0002,2026-05-16T07:00:00,2026-05-16,ADMIN,7.6,False,3,
DUT-0002-137,P-0002,2026-05-17T10:00:00,2026-05-17,EMERGENCY,7.75,False,4,
DUT-0002-138,P-0002,2026-05-18T09:00:00,2026-05-18,TRAINING_SUPPORT,7.44,False,3,
DUT-0002-139,P-0002,2026-05-19T08:00:00,2026-05-19,TRAINING_SUPPORT,8.93,False,3,
DUT-0002-140,P-0002,2026-05-20T10:00:00,2026-05-20,PATROL,5.24,False,3,
DUT-0002-141,P-0002,2026-05-21T06:00:00,2026-05-21,TRAINING_SUPPORT,7.87,False,3,
DUT-0002-142,P-0002,2026-05-22T13:00:00,2026-05-22,DAY,7.61,False,1,
DUT-0002-143,P-0002,2026-05-23T21:00:00,2026-05-23,NIGHT,7.67,True,2,
